F0,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,F13,Y
53,K1,281590,R2,9,Q2,P2,M3,caucasian,Female,15024,0,40,USA,1
44,K3,151504,R6,10,Q2,P6,M2,caucasian,Male,0,0,50,USA,0
51,K3,415287,R2,9,Q2,P10,M2,black,Male,0,1902,40,USA,1
49,K3,32212,R2,9,Q2,P2,M3,caucasian,Female,0,0,43,USA,0
35,K3,123606,R6,10,Q2,P3,M2,caucasian,Male,0,0,40,USA,0
44,K3,202565,R2,9,Q3,P7,M1,caucasian,Male,0,0,45,USA,0
54,K3,177927,R4,14,Q2,P4,M2,caucasian,Male,0,0,60,USA,0
37,K3,256723,R6,10,Q3,P1,M5,black,Female,0,0,35,USA,0
18,K3,46247,R6,10,Q1,P5,M4,caucasian,Female,0,0,15,USA,0
24,K3,266926,R6,10,Q2,P3,M2,caucasian,Male,0,0,40,USA,0
29,K3,112031,R2,9,Q3,P7,M1,caucasian,Female,0,0,50,USA,0
22,,376277,R6,10,Q3,,M1,caucasian,Female,0,0,35,USA,0
35,K3,168817,R2,9,Q1,P10,M1,caucasian,Male,0,0,40,USA,0
56,K3,187487,R2,9,Q2,P7,M2,caucasian,Male,0,0,48,USA,1
32,,158784,R9,4,Q7,,M1,caucasian,Female,0,0,40,USA,0
24,K3,67222,R1,13,Q1,P10,M1,asian,Male,0,0,45,China,0
43,K3,201723,R4,14,Q2,P2,M2,caucasian,Male,0,1902,40,USA,1
73,K3,267408,R2,9,Q7,P6,M6,caucasian,Female,0,0,15,USA,0
47,K4,168191,R6,10,Q2,P7,M2,caucasian,Male,0,0,40,,0
49,K3,105444,R16,8,Q2,P10,M2,caucasian,Male,0,0,39,USA,0
38,K3,156728,R1,13,Q2,P6,M2,caucasian,Male,0,0,40,USA,1
31,K3,148600,R2,9,Q2,P10,M2,black,Male,0,0,40,USA,0
39,K3,19914,R6,10,Q3,P1,M5,american,Female,0,0,40,USA,0
42,K3,190767,R1,13,Q3,P1,M1,caucasian,Female,0,0,40,USA,0
41,K3,233955,R4,14,Q2,P4,M2,asian,Male,0,0,45,China,1
35,K3,30381,R1,13,Q2,P6,M2,caucasian,Male,0,0,45,USA,1
38,K3,187069,R2,9,Q2,P8,M2,caucasian,Male,0,0,45,USA,0
31,K3,367314,R2,9,Q3,P1,M1,caucasian,Female,0,0,40,USA,0
51,K5,101119,R2,9,Q2,P12,M2,caucasian,Male,0,0,70,USA,0
38,K3,86551,R1,13,Q3,P6,M1,caucasian,Male,0,0,48,USA,1
40,K5,218995,R6,10,Q2,P2,M2,caucasian,Male,0,0,42,USA,1
21,K3,57711,R2,9,Q1,P5,M1,caucasian,Female,0,0,30,USA,0
44,K3,303521,R6,10,Q3,P7,M1,caucasian,Male,0,0,40,USA,0
55,K3,199067,R2,9,Q2,P7,M2,caucasian,Male,0,0,40,USA,1
29,K3,247445,R2,9,Q3,P6,M1,caucasian,Male,0,0,45,USA,0
49,K3,186078,R4,14,Q2,P4,M3,caucasian,Female,0,0,50,USA,1
31,K3,77634,R8,11,Q2,P5,M2,caucasian,Male,0,0,42,USA,0
24,K3,180060,R4,14,Q1,P2,M4,caucasian,Male,6849,0,90,USA,0
46,K3,56482,R6,10,Q1,P2,M1,black,Male,0,0,40,USA,0
26,K3,314177,R2,9,Q1,P6,M1,black,Male,0,0,40,USA,0
35,K3,239755,R1,13,Q1,P5,M1,caucasian,Male,0,0,38,USA,0
27,K3,377680,R8,11,Q1,P6,M1,caucasian,Male,0,0,50,USA,0
64,K2,134960,R1,13,Q2,P2,M2,caucasian,Male,15024,0,35,USA,1
26,K3,294493,R1,13,Q1,P7,M6,caucasian,Male,0,0,40,USA,0
21,K3,32616,R2,9,Q1,P5,M1,caucasian,Female,0,1719,16,USA,0
45,K3,182655,R1,13,Q3,P5,M1,caucasian,Male,0,0,45,,1
57,K5,52267,R2,9,Q2,P8,M2,caucasian,Male,0,0,72,USA,0
30,K3,117963,R1,13,Q2,P1,M2,caucasian,Male,0,0,40,USA,1
45,K3,98881,R3,7,Q2,P5,M3,caucasian,Female,0,0,32,USA,0
50,K3,196963,R9,4,Q3,P7,M1,caucasian,Female,0,0,30,USA,0
38,K3,166988,R1,13,Q1,P1,M4,caucasian,Female,0,0,40,USA,0
43,K2,193459,R6,10,Q2,P7,M2,caucasian,Male,0,0,60,USA,0
42,K3,182342,R6,10,Q7,P2,M1,caucasian,Female,0,0,55,USA,0
32,K3,496743,R1,13,Q1,P4,M4,caucasian,Male,0,0,40,USA,0
20,K3,154781,R2,9,Q1,P1,M1,caucasian,Female,0,0,40,USA,0
27,K3,219371,R2,9,Q1,P5,M1,caucasian,Female,0,0,35,USA,0
45,K3,99179,R3,7,Q7,P1,M5,caucasian,Female,0,0,40,USA,0
40,K3,224910,R2,9,Q1,P10,M1,caucasian,Female,0,0,40,USA,0
38,K3,304651,R2,9,Q3,P8,M1,caucasian,Male,0,0,60,USA,0
37,K3,349689,R2,9,Q3,P1,M5,caucasian,Female,0,0,40,USA,0
60,K3,106850,R13,6,Q3,P10,M1,caucasian,Female,0,0,40,USA,0
53,K2,196328,R2,9,Q2,P2,M2,black,Male,0,0,45,USA,1
25,K3,169323,R1,13,Q2,P2,M4,caucasian,Female,0,0,40,USA,0
47,K2,162924,R1,13,Q3,P2,M1,asian,Male,0,0,60,Japan,0
40,K2,34037,R2,9,Q1,P9,M1,caucasian,Male,0,0,70,USA,0
51,,167651,R2,9,Q2,,M2,caucasian,Male,0,0,40,USA,0
19,K3,197384,R6,10,Q1,P5,M4,caucasian,Female,0,0,10,USA,0
42,K3,251795,R6,10,Q2,P4,M3,caucasian,Female,0,0,50,USA,1
65,,266081,R2,9,Q2,,M2,caucasian,Male,0,0,40,USA,0
41,K3,165309,R1,13,Q3,P1,M5,caucasian,Female,0,0,40,USA,0
28,K3,215873,R13,6,Q1,P10,M4,black,Male,0,0,45,USA,0
46,K3,133938,R4,14,Q3,P2,M1,caucasian,Female,27828,0,50,USA,1
49,K3,159816,R1,13,Q2,P4,M3,caucasian,Female,99999,0,20,USA,1
24,K3,228424,R2,9,Q1,P3,M6,black,Male,0,0,40,USA,0
32,K3,195576,R3,7,Q2,P10,M2,caucasian,Male,0,0,40,USA,0
71,K3,105200,R2,9,Q2,P12,M2,caucasian,Male,6767,0,20,USA,0
26,K3,167350,R6,10,Q2,P11,M2,caucasian,Male,3103,0,40,USA,1
29,K3,52199,R2,9,Q4,P12,M1,caucasian,Male,0,0,40,USA,0
50,K3,171338,R6,10,Q2,P2,M2,caucasian,Male,99999,0,50,USA,1
51,K3,120173,R8,11,Q2,P7,M2,caucasian,Male,3103,0,50,USA,1
17,,158762,R13,6,Q1,,M4,caucasian,Female,0,0,20,USA,0
49,K3,169818,R2,9,Q2,P5,M3,black,Female,0,0,40,USA,1
31,K3,288419,R13,6,Q2,P10,M2,caucasian,Male,0,0,40,USA,0
23,K3,207546,R3,7,Q2,P10,M2,caucasian,Male,0,0,40,USA,0
59,K5,147707,R2,9,Q7,P9,M5,caucasian,Male,0,2339,40,USA,0
17,,228373,R13,6,Q1,,M4,caucasian,Male,0,0,30,USA,0
43,K3,193882,R6,10,Q2,P6,M2,caucasian,Male,7688,0,40,USA,1
38,K3,31033,R1,13,Q2,P6,M2,caucasian,Male,7298,0,40,USA,1
37,K3,272950,R2,9,Q2,P2,M2,caucasian,Male,0,0,40,USA,0
29,K3,183523,R13,6,Q1,P5,M4,caucasian,Male,0,0,40,USA,0
39,K3,238415,R1,13,Q2,P2,M2,caucasian,Male,0,0,50,USA,1
31,K3,19302,R7,12,Q1,P1,M1,caucasian,Male,2202,0,38,USA,0
42,K5,339671,R1,13,Q4,P4,M1,caucasian,Female,8614,0,45,USA,1
35,K5,103260,R4,14,Q2,P4,M3,caucasian,Female,0,0,35,USA,1
39,K3,79331,R4,14,Q2,P2,M2,asian,Male,15024,0,40,USA,1
40,K3,135056,R7,12,Q3,P1,M5,caucasian,Female,0,0,40,USA,0
66,K3,142723,R12,3,Q4,P3,M5,caucasian,Female,0,0,40,Puerto-Rico,0
30,K4,188569,R5,5,Q2,P11,M2,caucasian,Male,0,0,40,USA,0
43,K3,57322,R7,12,Q3,P7,M1,caucasian,Male,0,0,40,USA,0
47,K3,178309,R5,5,Q1,P5,M5,caucasian,Female,0,0,50,USA,0
45,K3,166107,R4,14,Q1,P1,M1,asian,Female,0,0,40,Philippines,0
31,K3,53042,R6,10,Q2,P10,M2,black,Male,0,0,40,Caribbean,0
33,K3,155343,R2,9,Q2,P6,M2,caucasian,Male,3103,0,40,USA,1
32,K3,35595,R1,13,Q1,P1,M1,caucasian,Male,0,0,40,USA,0
28,K3,429507,R7,12,Q2,P3,M2,black,Male,0,0,40,USA,0
50,K4,159670,R2,9,Q2,P1,M2,caucasian,Male,0,0,40,USA,1
63,K3,151210,R9,4,Q3,P6,M1,caucasian,Female,0,0,40,USA,0
28,K3,186792,R1,13,Q2,P1,M2,caucasian,Male,0,0,40,USA,0
38,K3,204640,R6,10,Q7,P1,M5,black,Female,0,0,40,USA,0
52,K3,87205,R2,9,Q3,P5,M1,caucasian,Female,0,0,38,USA,0
38,K6,112847,R11,15,Q2,P4,M2,asian,Male,0,0,40,USA,1
41,K3,107306,R2,9,Q1,P2,M1,caucasian,Male,2174,0,40,USA,0
50,K1,211319,R4,14,Q1,P4,M1,caucasian,Male,0,0,38,USA,0
59,K3,183606,R3,7,Q2,P10,M2,caucasian,Male,0,0,40,USA,0
32,K3,205390,R2,9,Q2,P6,M2,caucasian,Male,0,0,49,USA,0
73,K5,232871,R9,4,Q2,P12,M2,caucasian,Male,2228,0,10,USA,0
52,K6,101017,R2,9,Q3,P2,M5,caucasian,Male,0,0,38,USA,0
57,K3,114495,R2,9,Q2,P2,M2,caucasian,Male,0,0,60,USA,0
35,K3,183898,R8,11,Q2,P2,M2,caucasian,Male,7298,0,50,USA,1
51,K3,163921,R1,13,Q2,P8,M2,caucasian,Male,0,0,56,USA,1
22,K3,311764,R3,7,Q7,P6,M4,black,Female,0,0,35,USA,0
49,K3,188330,R2,9,Q2,P6,M2,caucasian,Male,0,0,40,USA,1
22,K3,267174,R2,9,Q1,P3,M4,black,Male,0,0,40,USA,0
46,K5,36228,R2,9,Q2,P7,M2,caucasian,Male,0,1902,40,USA,0
48,K3,199739,R2,9,Q3,P7,M5,caucasian,Female,0,0,40,USA,0
52,K3,185407,R2,9,Q2,P7,M2,caucasian,Male,0,0,40,,0
43,K1,206139,R1,13,Q2,P1,M2,caucasian,Male,0,0,50,USA,1
25,K3,282063,R9,4,Q2,P3,M2,caucasian,Male,0,0,40,Mexico,0
31,K3,332379,R9,4,Q1,P7,M1,caucasian,Male,0,0,40,USA,0
19,K3,418324,R6,10,Q1,P6,M4,caucasian,Male,0,0,36,USA,0
19,,263338,R6,10,Q1,,M4,caucasian,Male,0,0,45,USA,0
51,K3,158948,R2,9,Q2,P8,M2,caucasian,Male,0,0,84,USA,1
51,K3,221532,R1,13,Q3,P2,M5,caucasian,Male,0,0,40,USA,1
22,K2,202920,R2,9,Q1,P4,M5,caucasian,Female,99999,0,40,Dominican-Republic,1
37,K5,118909,R2,9,Q3,P1,M5,black,Female,0,0,35,USA,0
19,K3,286469,R6,10,Q1,P6,M4,caucasian,Female,0,0,30,USA,0
45,K3,191914,R2,9,Q3,P8,M5,caucasian,Female,0,0,55,USA,0
21,K1,142766,R6,10,Q1,P5,M4,caucasian,Male,0,0,10,USA,0
52,K3,198744,R2,9,Q7,P6,M1,caucasian,Female,0,0,40,USA,0
46,K5,272780,R6,10,Q2,P4,M2,caucasian,Male,0,0,24,USA,0
42,K1,219553,R4,14,Q3,P4,M1,caucasian,Female,0,0,38,USA,0
56,K3,261232,R2,9,Q1,P7,M1,caucasian,Male,0,0,40,USA,0
23,K3,64292,R2,9,Q1,P1,M1,caucasian,Female,0,0,40,USA,0
58,K3,312131,R4,14,Q2,P6,M2,caucasian,Male,0,0,40,USA,0
70,K3,30713,R2,9,Q2,P9,M2,caucasian,Male,0,0,30,USA,0
30,K3,246439,R6,10,Q3,P1,M5,caucasian,Male,0,0,40,USA,0
45,K3,338105,R1,13,Q2,P1,M2,asian,Male,0,0,40,Philippines,0
23,K3,228243,R6,10,Q1,P7,M1,caucasian,Male,0,0,44,USA,0
34,K5,62463,R6,10,Q2,P8,M2,caucasian,Male,0,1579,40,USA,0
38,K3,31603,R1,13,Q2,P7,M3,caucasian,Female,0,0,40,USA,0
24,K3,165054,R8,11,Q2,P7,M2,caucasian,Male,0,0,40,USA,0
53,K3,121618,R9,4,Q1,P8,M1,american,Male,0,0,40,USA,0
45,K4,273194,R2,9,Q1,P8,M1,black,Male,3325,0,40,USA,0
21,,163665,R6,10,Q1,,M4,caucasian,Female,0,0,40,USA,0
21,K3,538319,R6,10,Q1,P5,M4,caucasian,Female,0,0,40,Puerto-Rico,0
34,K3,238246,R1,13,Q1,P4,M1,caucasian,Female,0,0,40,USA,0
32,K6,244665,R2,9,Q2,P7,M2,caucasian,Male,5178,0,45,USA,1
21,K3,131811,R2,9,Q2,P3,M2,caucasian,Male,0,0,40,USA,0
63,,231777,R4,14,Q2,,M2,caucasian,Male,0,0,30,USA,0
23,K3,156807,R5,5,Q1,P3,M4,black,Male,0,0,36,USA,0
28,K3,236861,R1,13,Q3,P7,M5,caucasian,Male,0,0,50,USA,0
29,K2,229842,R2,9,Q1,P8,M5,black,Male,0,0,45,USA,0
25,K5,190057,R1,13,Q1,P4,M4,caucasian,Female,0,0,40,USA,0
44,K1,55076,R4,14,Q1,P4,M1,caucasian,Female,0,0,60,USA,0
18,K3,152545,R2,9,Q1,P5,M4,caucasian,Female,0,0,8,USA,0
26,K3,153434,R2,9,Q1,P5,M4,caucasian,Male,0,0,24,USA,0
47,K5,171095,R7,12,Q2,P1,M3,caucasian,Female,0,0,35,USA,1
23,K3,239322,R2,9,Q3,P6,M1,caucasian,Male,0,0,40,USA,0
46,K3,138999,R6,10,Q2,P10,M2,caucasian,Male,0,0,40,USA,0
61,K5,95450,R1,13,Q2,P2,M2,caucasian,Male,5178,0,50,USA,1
25,K3,176520,R2,9,Q1,P7,M6,caucasian,Male,0,0,40,USA,0
38,K5,72338,R2,9,Q2,P12,M2,asian,Male,0,0,54,USA,1
60,,386261,R1,13,Q4,,M5,black,Female,0,0,15,USA,0
23,K3,235722,R6,10,Q1,P5,M1,caucasian,Male,0,0,20,USA,0
36,K4,128884,R2,9,Q3,P1,M1,caucasian,Female,0,0,48,USA,0
46,K3,187226,R5,5,Q3,P5,M1,caucasian,Male,0,0,25,USA,0
32,K2,298332,R1,13,Q2,P4,M2,caucasian,Male,0,0,45,USA,1
40,K3,173607,R13,6,Q2,P8,M2,caucasian,Male,0,0,40,USA,0
31,K3,226756,R2,9,Q1,P1,M4,black,Male,0,0,40,USA,0
31,K3,157887,R6,10,Q2,P2,M2,caucasian,Male,0,0,65,USA,1
32,K1,171111,R1,13,Q1,P1,M1,caucasian,Male,0,0,37,USA,0
21,K3,126314,R6,10,Q1,P5,M4,caucasian,Male,0,0,10,USA,0
63,K3,174018,R6,10,Q2,P6,M2,black,Male,0,0,40,USA,1
44,K3,144778,R6,10,Q5,P2,M1,caucasian,Male,0,0,45,USA,1
42,K2,201522,R1,13,Q2,P6,M2,caucasian,Male,0,0,60,USA,0
23,,22966,R1,13,Q1,,M4,caucasian,Male,0,0,35,USA,0
30,K3,399088,R6,10,Q3,P1,M1,caucasian,Female,0,0,45,USA,0
24,K3,282202,R2,9,Q1,P5,M5,caucasian,Male,0,0,40,El-Salvador,0
42,K3,102606,R1,13,Q2,P11,M2,caucasian,Male,0,0,40,USA,1
44,K2,246862,R2,9,Q2,P4,M3,caucasian,Female,0,0,40,Italy,1
27,K4,508336,R1,13,Q1,P2,M1,black,Male,0,0,48,USA,0
27,K5,263431,R6,10,Q1,P2,M5,caucasian,Male,0,0,40,USA,0
22,K3,235733,R2,9,Q1,P5,M1,caucasian,Female,0,0,45,USA,0
68,K3,107910,R2,9,Q1,P6,M1,caucasian,Female,0,0,40,USA,0
55,K2,184425,R6,10,Q2,P9,M2,caucasian,Male,0,0,99,USA,1
22,K2,143062,R2,9,Q1,P5,M4,caucasian,Male,0,0,40,Greece,0
25,K3,199545,R6,10,Q2,P2,M3,caucasian,Female,0,0,15,USA,0
68,K2,197015,R2,9,Q2,P9,M2,caucasian,Male,0,0,45,USA,0
62,K3,149617,R6,10,Q7,P2,M1,caucasian,Female,0,0,16,USA,0
26,K3,33610,R2,9,Q3,P5,M6,caucasian,Male,0,0,40,USA,0
34,K3,192002,R4,14,Q2,P4,M2,caucasian,Male,0,0,55,USA,1
68,K3,67791,R6,10,Q7,P6,M1,caucasian,Male,0,0,40,USA,0
42,K5,445382,R1,13,Q5,P2,M1,caucasian,Male,0,0,45,USA,1
45,K3,112283,R1,13,Q2,P6,M2,caucasian,Male,0,0,55,USA,0
26,K3,157249,R3,7,Q1,P8,M1,caucasian,Male,0,0,40,USA,0
25,K3,109872,R2,9,Q2,P10,M2,caucasian,Male,0,0,45,USA,0
23,K3,119838,R1,13,Q1,P4,M4,caucasian,Male,0,0,50,USA,0
29,K3,149943,R6,10,Q1,P5,M1,other,Male,0,1590,40,,0
65,K7,27012,R9,4,Q7,P9,M5,caucasian,Female,0,0,50,USA,0
31,K3,91666,R2,9,Q1,P8,M1,caucasian,Male,0,0,50,USA,0
26,K3,270276,R2,9,Q1,P1,M1,caucasian,Female,0,0,40,USA,0
39,K3,179271,R6,10,Q2,P7,M2,caucasian,Male,0,0,50,USA,1
44,K3,161819,R2,9,Q2,P10,M2,caucasian,Male,0,0,40,USA,1
45,K5,339681,R4,14,Q3,P4,M5,caucasian,Female,1506,0,45,USA,0
26,K2,219897,R4,14,Q1,P4,M1,caucasian,Female,0,0,50,USA,0
26,K3,91683,R13,6,Q2,P8,M2,caucasian,Male,0,0,35,USA,0
36,K3,188834,R5,5,Q2,P8,M2,caucasian,Male,0,0,50,USA,0
38,K3,187046,R3,7,Q2,P7,M2,caucasian,Male,0,0,45,USA,0
39,K3,191807,R2,9,Q1,P10,M5,caucasian,Male,0,0,48,USA,0
52,K6,179951,R11,15,Q2,P2,M2,caucasian,Male,0,0,40,USA,0
39,K3,324420,R14,2,Q2,P7,M2,caucasian,Male,0,0,45,Mexico,0
41,K2,66632,R6,10,Q3,P7,M1,caucasian,Male,0,0,40,USA,0
42,K5,121718,R4,14,Q2,P2,M2,caucasian,Male,0,1902,60,USA,1
47,K3,162034,R1,13,Q2,P6,M2,caucasian,Male,0,0,70,USA,0
28,K5,218990,R8,11,Q2,P12,M2,black,Male,0,0,46,USA,0
25,K5,125863,R1,13,Q1,P4,M4,caucasian,Male,0,0,35,USA,0
35,K3,225330,R1,13,Q1,P1,M1,caucasian,Female,0,0,40,USA,0
32,K3,120426,R2,9,Q5,P1,M5,caucasian,Female,0,0,40,USA,0
38,K3,119741,R4,14,Q2,P7,M2,black,Male,0,0,40,USA,1
44,K3,32000,R6,10,Q2,P11,M2,caucasian,Male,0,0,18,USA,1
21,,124242,R6,10,Q1,,M4,caucasian,Female,0,0,40,USA,0
27,K3,278581,R1,13,Q1,P6,M4,caucasian,Female,0,0,40,USA,0
30,K3,230224,R1,13,Q1,P2,M1,caucasian,Male,0,0,55,USA,1
30,K3,204374,R1,13,Q1,P6,M1,caucasian,Male,0,1741,48,USA,0
45,K3,188386,R2,9,Q2,P3,M2,caucasian,Male,0,1628,45,USA,0
20,K3,164922,R2,9,Q1,P7,M4,caucasian,Male,0,0,40,USA,0
57,K3,195176,R4,14,Q1,P4,M1,caucasian,Male,0,0,80,USA,0
43,K3,166740,R6,10,Q3,P1,M1,caucasian,Male,0,0,48,USA,0
50,,156008,R3,7,Q2,,M4,black,Female,0,0,40,USA,0
28,K3,162551,R9,4,Q2,P10,M6,asian,Female,0,0,48,China,0
25,K3,211231,R2,9,Q2,P11,M6,caucasian,Female,0,0,48,USA,1
25,K3,169990,R2,9,Q2,P6,M2,caucasian,Male,0,0,40,USA,0
90,K3,221832,R1,13,Q2,P2,M2,caucasian,Male,0,0,45,USA,0
38,K5,255454,R1,13,Q5,P4,M5,black,Male,0,0,40,USA,0
35,K3,28160,R1,13,Q4,P2,M5,caucasian,Female,0,0,40,USA,0
50,K1,159219,R1,13,Q2,P2,M2,caucasian,Male,0,0,40,Canada,1
26,K5,103148,R2,9,Q1,P1,M1,caucasian,Female,0,0,40,USA,0
39,K3,165186,R6,10,Q2,P9,M2,caucasian,Male,0,0,45,USA,0
56,K3,31782,R13,6,Q2,P6,M2,caucasian,Male,0,0,40,USA,0
24,K5,249101,R2,9,Q3,P12,M5,black,Female,0,0,40,USA,0
46,K3,243190,R2,9,Q2,P1,M3,caucasian,Female,7688,0,40,USA,1
18,K5,153405,R3,7,Q1,P1,M6,caucasian,Female,0,0,25,USA,0
37,K3,329980,R4,14,Q2,P2,M2,caucasian,Male,0,2415,60,USA,1
57,K3,176079,R4,14,Q3,P4,M1,caucasian,Female,0,0,40,USA,0
43,K1,218542,R2,9,Q1,P1,M5,black,Female,0,0,40,USA,0
29,K1,303446,R1,13,Q2,P4,M2,caucasian,Male,0,0,25,Nicaragua,0
40,K3,102606,R4,14,Q2,P2,M2,caucasian,Male,0,0,40,USA,1
44,K2,483201,R1,13,Q2,P2,M2,caucasian,Male,0,0,40,USA,0
77,K5,144608,R2,9,Q2,P2,M2,caucasian,Male,0,0,6,USA,0
30,K3,226013,R1,13,Q1,P4,M1,black,Male,0,0,40,USA,0
21,K3,165475,R2,9,Q2,P10,M2,caucasian,Male,0,0,40,USA,0
66,K3,263637,R13,6,Q2,P12,M2,caucasian,Male,0,0,40,USA,0
40,K3,201495,R3,7,Q1,P8,M4,caucasian,Male,0,0,35,USA,0
68,K3,213720,R2,9,Q2,P6,M2,caucasian,Male,0,0,40,USA,0
64,K3,170483,R2,9,Q7,P5,M1,caucasian,Female,0,0,38,USA,0
26,K3,214303,R1,13,Q1,P4,M1,caucasian,Female,0,0,50,USA,0
32,K3,190511,R6,10,Q2,P2,M2,caucasian,Male,0,0,40,USA,1
32,K3,242150,R2,9,Q1,P1,M4,caucasian,Male,0,0,38,USA,0
51,K5,159755,R4,14,Q2,P4,M2,caucasian,Male,0,0,40,USA,1
50,K3,147629,R4,14,Q2,P4,M2,caucasian,Male,15024,0,45,USA,1
49,K3,268022,R1,13,Q2,P6,M2,caucasian,Male,0,0,50,USA,1
28,K3,188711,R1,13,Q1,P8,M5,caucasian,Male,0,0,20,USA,0
29,K3,452205,R2,9,Q3,P5,M5,caucasian,Female,0,0,36,USA,0
21,K3,260847,R6,10,Q1,P6,M4,caucasian,Male,0,0,30,USA,0
28,K3,291374,R2,9,Q1,P1,M5,black,Female,0,0,40,USA,0
55,K3,189933,R13,6,Q2,P7,M2,caucasian,Male,0,0,40,USA,0
45,K2,133969,R2,9,Q2,P6,M2,asian,Male,0,0,50,South,1
35,K3,330664,R6,10,Q1,P6,M1,caucasian,Male,0,0,40,USA,0
31,,672412,R3,7,Q5,,M1,black,Male,0,0,40,USA,0
26,K3,122999,R4,14,Q1,P4,M1,caucasian,Male,8614,0,40,USA,1
30,K3,111415,R2,9,Q2,P5,M2,caucasian,Male,0,0,55,Germany,0
33,K3,217235,R2,9,Q2,P6,M2,caucasian,Male,0,0,20,USA,0
40,K3,121956,R1,13,Q4,P4,M1,asian,Male,13550,0,40,Cambodia,1
23,K3,120172,R1,13,Q1,P2,M1,caucasian,Male,0,0,40,USA,0
35,K3,343403,R6,10,Q1,P6,M1,caucasian,Female,0,0,40,USA,0
48,K2,104790,R3,7,Q2,P9,M2,caucasian,Male,0,0,50,USA,1
39,K5,473547,R13,6,Q3,P3,M4,black,Male,0,0,40,USA,0
53,K5,260106,R11,15,Q3,P4,M1,caucasian,Female,0,0,50,USA,0
49,K4,168232,R2,9,Q2,P1,M2,caucasian,Male,0,0,40,USA,1
31,K3,348491,R1,13,Q1,P2,M1,black,Female,0,0,40,USA,0
36,K3,24106,R2,9,Q2,P7,M2,caucasian,Male,3103,0,40,USA,1
60,K6,197553,R6,10,Q2,P2,M2,caucasian,Male,7688,0,50,USA,1
29,K3,421065,R2,9,Q1,P10,M1,caucasian,Male,0,0,48,USA,0
54,K6,138852,R6,10,Q2,P6,M2,caucasian,Male,0,0,45,USA,1
28,,169631,R7,12,Q6,,M3,caucasian,Female,0,0,3,USA,0
34,K3,379412,R2,9,Q2,P7,M2,caucasian,Male,0,0,50,USA,0
30,K3,181992,R6,10,Q1,P6,M1,black,Female,0,0,35,USA,0
19,K3,365640,R2,9,Q1,P14,M1,caucasian,Female,0,0,45,,0
26,K3,236564,R2,9,Q1,P3,M1,caucasian,Male,0,0,40,USA,0
47,K3,363418,R6,10,Q1,P6,M1,caucasian,Male,0,0,70,USA,1
50,K3,112351,R2,9,Q3,P2,M5,caucasian,Male,0,0,38,USA,0
30,K3,204704,R1,13,Q1,P2,M5,caucasian,Female,0,0,45,USA,1
44,K3,54611,R6,10,Q3,P10,M1,caucasian,Male,0,0,50,USA,0
49,K3,128132,R2,9,Q2,P6,M2,caucasian,Male,0,0,60,USA,1
75,K2,30599,R4,14,Q4,P4,M1,caucasian,Female,0,0,50,USA,0
37,K3,379522,R1,13,Q2,P6,M2,caucasian,Male,0,0,55,USA,1
51,K1,196504,R2,9,Q3,P7,M5,caucasian,Male,0,0,38,USA,0
35,K3,82552,R2,9,Q1,P7,M5,caucasian,Male,0,0,35,USA,0
28,K3,104024,R6,10,Q1,P6,M6,caucasian,Female,0,0,40,USA,0
66,K2,293114,R2,9,Q2,P9,M2,caucasian,Male,1409,0,40,USA,0
72,K3,74141,R5,5,Q2,P2,M3,asian,Female,0,0,48,USA,1
39,K3,192337,R1,13,Q5,P6,M1,caucasian,Male,0,0,50,USA,0
27,K3,262478,R2,9,Q1,P9,M4,black,Male,0,0,30,USA,0
57,K3,185072,R6,10,Q1,P1,M6,black,Female,0,0,40,Jamaica,0
24,K3,296045,R9,4,Q2,P7,M2,caucasian,Male,2635,0,38,USA,0
28,K3,246595,R2,9,Q1,P7,M4,caucasian,Male,0,0,70,USA,0
23,K3,54472,R6,10,Q4,P5,M1,caucasian,Female,0,0,50,USA,0
31,K3,331065,R1,13,Q1,P2,M1,caucasian,Female,0,1408,40,USA,0
23,K3,161708,R6,10,Q1,P5,M4,caucasian,Female,0,0,20,USA,0
31,K3,264936,R6,10,Q1,P5,M1,caucasian,Female,0,0,40,USA,0
27,K5,113545,R1,13,Q1,P4,M1,caucasian,Female,0,0,40,USA,0
30,K3,212237,R1,13,Q2,P4,M2,caucasian,Male,0,1740,45,USA,0
31,K3,170430,R11,15,Q1,P4,M1,caucasian,Female,0,0,80,,0
34,K3,173806,R4,14,Q1,P4,M1,caucasian,Male,4865,0,60,USA,0
57,K4,370890,R2,9,Q1,P1,M1,caucasian,Male,0,2258,40,USA,0
39,K3,505119,R4,14,Q2,P2,M2,caucasian,Male,0,0,40,Cuba,1
23,K3,193089,R3,7,Q1,P7,M4,caucasian,Male,0,0,40,USA,0
24,K5,33432,R7,12,Q2,P5,M3,caucasian,Female,0,0,40,USA,0
36,K3,103110,R10,16,Q1,P4,M1,caucasian,Male,0,0,40,England,0
32,K3,160362,R6,10,Q3,P5,M6,caucasian,Male,0,0,40,Nicaragua,0
35,K3,204621,R7,12,Q3,P5,M4,caucasian,Female,0,0,40,USA,0
36,K3,35309,R1,13,Q2,P2,M2,caucasian,Male,0,0,40,USA,0
23,,154373,R1,13,Q1,,M1,caucasian,Female,0,0,50,USA,0
47,K3,194772,R8,11,Q2,P10,M2,caucasian,Male,0,0,40,USA,1
35,K3,154410,R2,9,Q1,P3,M1,caucasian,Male,0,0,40,USA,0
